section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-006_1_E1_RE_SEC-01_local,1,1.0,2.0,114.0,102.8,100.4
R-006_1_E1_RE_SEC-01_local,2,2.0,2.0,102.3,88.7,86.4
R-006_1_E1_RE_SEC-01_local,3,3.0,2.0,96.7,67.5,67.9
R-006_1_E1_RE_SEC-01_local,4,4.0,2.0,84.8,50.7,48.6
R-006_1_E1_RE_SEC-01_local,5,5.0,2.0,77.9,57.7,58.0
R-006_1_E1_RE_SEC-01_local,6,6.0,2.0,75.2,64.7,65.1
R-006_1_E1_RE_SEC-01_local,7,7.0,2.0,73.8,62.7,62.6
R-006_1_E1_RE_SEC-01_local,8,8.0,2.0,71.8,56.5,59.3
R-006_1_E1_RE_SEC-01_local,9,9.0,2.0,69.8,52.8,48.9
R-006_1_E1_RE_SEC-01_local,10,10.0,2.0,67.8,42.4,48.4
R-006_1_E1_RE_SEC-01_local,11,11.0,2.0,64.9,17.3,10.9
