section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-007_1_E2_RE_SEC-09_local,1,1.0,2.0,73.8,69.4,72.3
BU-007_1_E2_RE_SEC-09_local,2,2.0,2.0,68.7,72.0,67.6
BU-007_1_E2_RE_SEC-09_local,3,3.0,2.0,72.5,88.3,92.6
BU-007_1_E2_RE_SEC-09_local,4,4.0,2.0,78.8,87.3,86.4
BU-007_1_E2_RE_SEC-09_local,5,5.0,2.0,78.5,76.8,75.2
BU-007_1_E2_RE_SEC-09_local,6,6.0,2.0,78.0,76.8,78.0
BU-007_1_E2_RE_SEC-09_local,7,7.0,2.0,77.9,76.9,76.0
BU-007_1_E2_RE_SEC-09_local,8,8.0,2.0,77.7,83.0,83.5
BU-007_1_E2_RE_SEC-09_local,9,9.0,2.0,79.0,87.1,91.3
BU-007_1_E2_RE_SEC-09_local,10,10.0,2.0,79.5,72.9,69.2
BU-007_1_E2_RE_SEC-09_local,11,11.0,2.0,77.9,51.5,51.2
