section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-044_1_E1_RE_SEC-01_local,1,1.0,2.0,94.6,89.5,91.8
MU-044_1_E1_RE_SEC-01_local,2,2.0,2.0,89.4,84.8,84.4
MU-044_1_E1_RE_SEC-01_local,3,3.0,2.0,87.4,83.6,83.7
MU-044_1_E1_RE_SEC-01_local,4,4.0,2.0,86.3,77.8,80.1
MU-044_1_E1_RE_SEC-01_local,5,5.0,2.0,83.5,62.6,64.0
MU-044_1_E1_RE_SEC-01_local,6,6.0,2.0,78.3,41.4,41.8
MU-044_1_E1_RE_SEC-01_local,7,7.0,2.0,71.5,38.1,34.2
MU-044_1_E1_RE_SEC-01_local,8,8.0,2.0,68.3,41.9,43.1
MU-044_1_E1_RE_SEC-01_local,9,9.0,2.0,64.7,38.0,36.5
MU-044_1_E1_RE_SEC-01_local,10,10.0,2.0,61.9,33.2,38.1
MU-044_1_E1_RE_SEC-01_local,11,11.0,2.0,58.9,10.1,6.4
