section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-161_1_E3_RE_SEC-04_local,1,1.0,2.0,95.9,97.4,95.2
BU-161_1_E3_RE_SEC-04_local,2,2.0,2.0,97.4,107.0,111.1
BU-161_1_E3_RE_SEC-04_local,3,3.0,2.0,101.6,88.1,84.5
BU-161_1_E3_RE_SEC-04_local,4,4.0,2.0,92.6,65.6,66.6
BU-161_1_E3_RE_SEC-04_local,5,5.0,2.0,85.9,62.9,62.0
BU-161_1_E3_RE_SEC-04_local,6,6.0,2.0,81.9,64.2,64.4
BU-161_1_E3_RE_SEC-04_local,7,7.0,2.0,79.2,77.1,78.4
BU-161_1_E3_RE_SEC-04_local,8,8.0,2.0,80.7,129.0,121.5
BU-161_1_E3_RE_SEC-04_local,9,9.0,2.0,86.8,100.9,95.2
BU-161_1_E3_RE_SEC-04_local,10,10.0,2.0,83.6,63.4,60.7
BU-161_1_E3_RE_SEC-04_local,11,11.0,2.0,81.8,99.2,107.9
