section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-173_1_E1_RE_SEC-01_local,1,1.0,2.0,67.7,59.2,70.1
BU-173_1_E1_RE_SEC-01_local,2,2.0,2.0,58.0,44.1,37.8
BU-173_1_E1_RE_SEC-01_local,3,3.0,2.0,51.5,53.2,56.0
BU-173_1_E1_RE_SEC-01_local,4,4.0,2.0,55.6,54.1,54.3
BU-173_1_E1_RE_SEC-01_local,5,5.0,2.0,52.6,38.6,38.0
BU-173_1_E1_RE_SEC-01_local,6,6.0,2.0,49.7,43.6,43.5
BU-173_1_E1_RE_SEC-01_local,7,7.0,2.0,50.0,52.0,51.0
BU-173_1_E1_RE_SEC-01_local,8,8.0,2.0,50.3,53.2,52.7
BU-173_1_E1_RE_SEC-01_local,9,9.0,2.0,50.7,51.5,51.3
BU-173_1_E1_RE_SEC-01_local,10,10.0,2.0,50.6,49.3,52.8
BU-173_1_E1_RE_SEC-01_local,11,11.0,2.0,50.5,36.2,39.5
