section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-078_1_E3_RE_SEC-01_local,1,1.0,2.0,142.6,147.4,148.4
BU-078_1_E3_RE_SEC-01_local,2,2.0,2.0,146.7,151.4,151.4
BU-078_1_E3_RE_SEC-01_local,3,3.0,2.0,148.5,143.5,141.4
BU-078_1_E3_RE_SEC-01_local,4,4.0,2.0,145.5,84.3,77.7
BU-078_1_E3_RE_SEC-01_local,5,5.0,2.0,130.7,59.7,69.4
BU-078_1_E3_RE_SEC-01_local,6,6.0,2.0,118.9,57.7,52.0
BU-078_1_E3_RE_SEC-01_local,7,7.0,2.0,108.9,40.6,38.7
BU-078_1_E3_RE_SEC-01_local,8,8.0,2.0,100.0,13.2,8.5
BU-078_1_E3_RE_SEC-01_local,9,9.0,2.0,85.9,54.2,47.9
