section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-017_1_E1_RE_SEC-10_local,1,1.0,2.0,131.9,114.5,106.9
R-017_1_E1_RE_SEC-10_local,2,2.0,2.0,113.8,82.4,84.3
R-017_1_E1_RE_SEC-10_local,3,3.0,2.0,97.8,68.3,66.0
R-017_1_E1_RE_SEC-10_local,4,4.0,2.0,90.5,67.5,69.5
R-017_1_E1_RE_SEC-10_local,5,5.0,2.0,85.3,58.3,58.6
R-017_1_E1_RE_SEC-10_local,6,6.0,2.0,79.5,46.1,46.0
R-017_1_E1_RE_SEC-10_local,7,7.0,2.0,73.9,38.8,38.9
R-017_1_E1_RE_SEC-10_local,8,8.0,2.0,68.9,18.8,16.7
R-017_1_E1_RE_SEC-10_local,9,9.0,2.0,61.6,5.1,5.6
R-017_1_E1_RE_SEC-10_local,10,10.0,2.0,56.1,12.6,12.9
R-017_1_E1_RE_SEC-10_local,11,11.0,2.0,52.4,16.7,17.2
