section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-077_1_E3_RE_SEC-04_local,1,1.0,2.0,98.3,88.6,83.3
BU-077_1_E3_RE_SEC-04_local,2,2.0,2.0,87.4,72.8,71.3
BU-077_1_E3_RE_SEC-04_local,3,3.0,2.0,81.2,68.0,66.9
BU-077_1_E3_RE_SEC-04_local,4,4.0,2.0,77.6,62.6,63.0
BU-077_1_E3_RE_SEC-04_local,5,5.0,2.0,73.6,66.0,62.4
BU-077_1_E3_RE_SEC-04_local,6,6.0,2.0,73.8,81.2,87.6
BU-077_1_E3_RE_SEC-04_local,7,7.0,2.0,75.8,72.0,69.3
BU-077_1_E3_RE_SEC-04_local,8,8.0,2.0,73.4,60.0,60.5
BU-077_1_E3_RE_SEC-04_local,9,9.0,2.0,72.1,64.5,65.5
BU-077_1_E3_RE_SEC-04_local,10,10.0,2.0,71.6,64.8,63.5
BU-077_1_E3_RE_SEC-04_local,11,11.0,2.0,70.8,46.7,45.7
