section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-197_1_E2_RE_SEC-09_local,1,1.0,2.0,46.9,37.5,47.4
BU-197_1_E2_RE_SEC-09_local,2,2.0,2.0,36.7,24.1,24.7
BU-197_1_E2_RE_SEC-09_local,3,3.0,2.0,31.4,17.9,16.0
BU-197_1_E2_RE_SEC-09_local,4,4.0,2.0,27.1,15.7,15.8
BU-197_1_E2_RE_SEC-09_local,5,5.0,2.0,25.1,15.7,15.5
BU-197_1_E2_RE_SEC-09_local,6,6.0,2.0,23.3,9.1,11.7
BU-197_1_E2_RE_SEC-09_local,7,7.0,2.0,20.4,4.8,178.3
BU-197_1_E2_RE_SEC-09_local,8,8.0,2.0,18.6,0.1,175.0
BU-197_1_E2_RE_SEC-09_local,9,9.0,2.0,15.9,3.8,6.9
BU-197_1_E2_RE_SEC-09_local,10,10.0,2.0,14.2,0.8,1.3
BU-197_1_E2_RE_SEC-09_local,11,11.0,2.0,12.8,0.7,177.8
