section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-233_1_E1_RE_SEC-10_local,1,1.0,2.0,117.3,121.8,113.8
MU-233_1_E1_RE_SEC-10_local,2,2.0,2.0,120.2,119.7,123.1
MU-233_1_E1_RE_SEC-10_local,3,3.0,2.0,119.0,106.0,103.3
MU-233_1_E1_RE_SEC-10_local,4,4.0,2.0,112.9,82.5,82.7
MU-233_1_E1_RE_SEC-10_local,5,5.0,2.0,103.4,64.4,61.9
MU-233_1_E1_RE_SEC-10_local,6,6.0,2.0,96.3,65.8,65.7
MU-233_1_E1_RE_SEC-10_local,7,7.0,2.0,92.2,57.7,60.6
MU-233_1_E1_RE_SEC-10_local,8,8.0,2.0,86.2,34.1,29.6
MU-233_1_E1_RE_SEC-10_local,9,9.0,2.0,78.9,22.9,22.6
MU-233_1_E1_RE_SEC-10_local,10,10.0,2.0,73.2,19.9,22.7
MU-233_1_E1_RE_SEC-10_local,11,11.0,2.0,67.8,10.6,8.6
MU-233_1_E1_RE_SEC-10_local,12,12.0,2.0,62.6,8.3,8.1
