section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-046_1_E1_RE_SEC-04_local,1,1.0,2.0,66.1,59.8,71.2
MU-046_1_E1_RE_SEC-04_local,2,2.0,2.0,58.8,64.5,66.1
MU-046_1_E1_RE_SEC-04_local,3,3.0,2.0,64.4,71.6,77.1
MU-046_1_E1_RE_SEC-04_local,4,4.0,2.0,65.4,67.4,64.8
MU-046_1_E1_RE_SEC-04_local,5,5.0,2.0,66.2,67.6,72.3
MU-046_1_E1_RE_SEC-04_local,6,6.0,2.0,66.2,67.8,65.9
MU-046_1_E1_RE_SEC-04_local,7,7.0,2.0,66.8,61.2,64.5
MU-046_1_E1_RE_SEC-04_local,8,8.0,2.0,65.0,49.8,47.2
MU-046_1_E1_RE_SEC-04_local,9,9.0,2.0,62.8,51.1,52.0
MU-046_1_E1_RE_SEC-04_local,10,10.0,2.0,62.1,57.0,55.6
MU-046_1_E1_RE_SEC-04_local,11,11.0,2.0,61.7,58.8,60.6
MU-046_1_E1_RE_SEC-04_local,12,12.0,2.0,61.5,58.8,59.1
