section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-014_1_E2_RE_SEC-05_local,1,1.0,2.0,96.6,84.2,75.4
BU-014_1_E2_RE_SEC-05_local,2,2.0,2.0,83.2,77.7,76.7
BU-014_1_E2_RE_SEC-05_local,3,3.0,2.0,83.8,81.5,82.7
BU-014_1_E2_RE_SEC-05_local,4,4.0,2.0,82.5,73.4,71.2
BU-014_1_E2_RE_SEC-05_local,5,5.0,2.0,79.5,53.1,55.1
BU-014_1_E2_RE_SEC-05_local,6,6.0,2.0,73.0,40.0,37.3
BU-014_1_E2_RE_SEC-05_local,7,7.0,2.0,68.4,38.9,36.7
BU-014_1_E2_RE_SEC-05_local,8,8.0,2.0,64.3,40.2,40.9
BU-014_1_E2_RE_SEC-05_local,9,9.0,2.0,62.4,53.3,55.1
BU-014_1_E2_RE_SEC-05_local,10,10.0,2.0,62.2,58.4,60.7
BU-014_1_E2_RE_SEC-05_local,11,11.0,2.0,61.6,44.9,42.3
BU-014_1_E2_RE_SEC-05_local,12,12.0,2.0,59.2,35.9,34.8
