section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-178_1_E3_RE_SEC-05_local,1,1.0,2.0,98.7,95.9,100.6
BU-178_1_E3_RE_SEC-05_local,2,2.0,2.0,94.8,76.3,69.8
BU-178_1_E3_RE_SEC-05_local,3,3.0,2.0,84.1,110.1,114.6
BU-178_1_E3_RE_SEC-05_local,4,4.0,2.0,102.4,142.5,149.3
BU-178_1_E3_RE_SEC-05_local,5,5.0,2.0,106.5,117.3,113.7
BU-178_1_E3_RE_SEC-05_local,6,6.0,2.0,108.1,94.4,94.8
BU-178_1_E3_RE_SEC-05_local,7,7.0,2.0,102.9,82.3,82.3
BU-178_1_E3_RE_SEC-05_local,8,8.0,2.0,101.0,94.0,93.7
BU-178_1_E3_RE_SEC-05_local,9,9.0,2.0,100.7,95.7,98.5
BU-178_1_E3_RE_SEC-05_local,10,10.0,2.0,99.8,83.7,80.8
BU-178_1_E3_RE_SEC-05_local,11,11.0,2.0,97.5,41.9,53.3
