section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-014_1_E1_RE_SEC-08_local,1,1.0,2.0,104.4,85.2,83.0
BU-014_1_E1_RE_SEC-08_local,2,2.0,2.0,84.6,59.6,55.5
BU-014_1_E1_RE_SEC-08_local,3,3.0,2.0,73.6,60.7,62.3
BU-014_1_E1_RE_SEC-08_local,4,4.0,2.0,72.1,62.3,61.3
BU-014_1_E1_RE_SEC-08_local,5,5.0,2.0,68.9,55.3,56.8
BU-014_1_E1_RE_SEC-08_local,6,6.0,2.0,66.4,54.7,54.8
BU-014_1_E1_RE_SEC-08_local,7,7.0,2.0,64.7,56.3,57.0
BU-014_1_E1_RE_SEC-08_local,8,8.0,2.0,63.8,52.5,51.0
BU-014_1_E1_RE_SEC-08_local,9,9.0,2.0,62.0,46.1,45.6
BU-014_1_E1_RE_SEC-08_local,10,10.0,2.0,60.2,45.4,47.1
BU-014_1_E1_RE_SEC-08_local,11,11.0,2.0,58.9,47.7,47.1
