section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-129_1_E1_RE_SEC-08_local,1,1.0,2.0,53.2,54.6,73.2
BU-129_1_E1_RE_SEC-08_local,2,2.0,2.0,53.2,51.5,54.1
BU-129_1_E1_RE_SEC-08_local,3,3.0,2.0,52.0,29.0,30.1
BU-129_1_E1_RE_SEC-08_local,4,4.0,2.0,41.3,9.0,9.1
BU-129_1_E1_RE_SEC-08_local,5,5.0,2.0,34.7,12.6,11.4
BU-129_1_E1_RE_SEC-08_local,6,6.0,2.0,31.5,14.9,15.6
BU-129_1_E1_RE_SEC-08_local,7,7.0,2.0,28.9,14.3,14.3
BU-129_1_E1_RE_SEC-08_local,8,8.0,2.0,27.1,15.3,14.1
BU-129_1_E1_RE_SEC-08_local,9,9.0,2.0,25.8,11.1,13.1
BU-129_1_E1_RE_SEC-08_local,10,10.0,2.0,23.8,4.1,6.1
BU-129_1_E1_RE_SEC-08_local,11,11.0,2.0,20.4,17.4,14.7
