section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-083_1_E1_RE_SEC-09_local,1,1.0,2.0,67.9,58.0,66.7
BU-083_1_E1_RE_SEC-09_local,2,2.0,2.0,56.8,42.9,42.1
BU-083_1_E1_RE_SEC-09_local,3,3.0,2.0,51.1,41.7,41.2
BU-083_1_E1_RE_SEC-09_local,4,4.0,2.0,49.2,43.6,44.6
BU-083_1_E1_RE_SEC-09_local,5,5.0,2.0,48.0,47.4,46.9
BU-083_1_E1_RE_SEC-09_local,6,6.0,2.0,48.6,49.8,49.4
BU-083_1_E1_RE_SEC-09_local,7,7.0,2.0,48.5,47.0,47.6
BU-083_1_E1_RE_SEC-09_local,8,8.0,2.0,48.2,46.2,46.1
BU-083_1_E1_RE_SEC-09_local,9,9.0,2.0,48.0,48.6,49.1
BU-083_1_E1_RE_SEC-09_local,10,10.0,2.0,48.3,45.7,46.8
