section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-176_1_E1_RE_SEC-02_local,1,1.0,2.0,102.1,84.9,83.7
BU-176_1_E1_RE_SEC-02_local,2,2.0,2.0,84.2,36.8,35.4
BU-176_1_E1_RE_SEC-02_local,3,3.0,2.0,59.1,6.9,4.0
BU-176_1_E1_RE_SEC-02_local,4,4.0,2.0,44.1,9.7,172.7
BU-176_1_E1_RE_SEC-02_local,5,5.0,2.0,37.5,26.2,31.9
BU-176_1_E1_RE_SEC-02_local,6,6.0,2.0,37.7,31.4,30.7
BU-176_1_E1_RE_SEC-02_local,7,7.0,2.0,35.7,23.2,23.5
BU-176_1_E1_RE_SEC-02_local,8,8.0,2.0,33.7,19.3,19.0
BU-176_1_E1_RE_SEC-02_local,9,9.0,2.0,31.7,18.7,19.2
BU-176_1_E1_RE_SEC-02_local,10,10.0,2.0,30.4,18.6,18.1
