section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-117_1_E2_RE_SEC-07_local,1,1.0,2.0,111.0,107.2,105.9
BU-117_1_E2_RE_SEC-07_local,2,2.0,2.0,106.9,91.6,91.8
BU-117_1_E2_RE_SEC-07_local,3,3.0,2.0,98.1,81.0,81.9
BU-117_1_E2_RE_SEC-07_local,4,4.0,2.0,93.9,68.0,73.2
BU-117_1_E2_RE_SEC-07_local,5,5.0,2.0,86.7,22.8,20.6
BU-117_1_E2_RE_SEC-07_local,6,6.0,2.0,73.8,4.4,4.4
BU-117_1_E2_RE_SEC-07_local,7,7.0,2.0,63.6,5.6,6.2
BU-117_1_E2_RE_SEC-07_local,8,8.0,2.0,55.3,5.1,4.0
BU-117_1_E2_RE_SEC-07_local,9,9.0,2.0,48.7,6.0,6.8
BU-117_1_E2_RE_SEC-07_local,10,10.0,2.0,43.8,6.7,6.8
BU-117_1_E2_RE_SEC-07_local,11,11.0,2.0,39.7,7.4,6.8
