section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-237_1_E1_RE_SEC-02_local,1,1.0,2.0,77.0,65.1,68.6
MU-237_1_E1_RE_SEC-02_local,2,2.0,2.0,64.3,51.4,50.1
MU-237_1_E1_RE_SEC-02_local,3,3.0,2.0,59.7,44.9,50.0
MU-237_1_E1_RE_SEC-02_local,4,4.0,2.0,54.4,40.5,34.8
MU-237_1_E1_RE_SEC-02_local,5,5.0,2.0,51.7,45.2,47.7
MU-237_1_E1_RE_SEC-02_local,6,6.0,2.0,51.4,30.3,37.2
MU-237_1_E1_RE_SEC-02_local,7,7.0,2.0,46.0,12.3,7.8
MU-237_1_E1_RE_SEC-02_local,8,8.0,2.0,41.9,23.7,25.7
MU-237_1_E1_RE_SEC-02_local,9,9.0,2.0,40.8,32.5,29.2
MU-237_1_E1_RE_SEC-02_local,10,10.0,2.0,39.6,41.4,42.2
MU-237_1_E1_RE_SEC-02_local,11,11.0,2.0,40.7,50.1,55.2
