section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-029_1_E2_RE_SEC-04_local,1,1.0,2.0,144.0,133.3,128.4
MU-029_1_E2_RE_SEC-04_local,2,2.0,2.0,132.2,102.7,104.2
MU-029_1_E2_RE_SEC-04_local,3,3.0,2.0,117.2,63.7,58.8
MU-029_1_E2_RE_SEC-04_local,4,4.0,2.0,99.3,42.2,42.5
MU-029_1_E2_RE_SEC-04_local,5,5.0,2.0,85.7,37.8,38.4
MU-029_1_E2_RE_SEC-04_local,6,6.0,2.0,76.2,36.0,36.2
MU-029_1_E2_RE_SEC-04_local,7,7.0,2.0,68.4,32.5,32.2
MU-029_1_E2_RE_SEC-04_local,8,8.0,2.0,62.6,29.7,29.8
MU-029_1_E2_RE_SEC-04_local,9,9.0,2.0,58.0,28.1,27.6
MU-029_1_E2_RE_SEC-04_local,10,10.0,2.0,54.2,26.6,26.9
MU-029_1_E2_RE_SEC-04_local,11,11.0,2.0,51.1,26.5,27.2
