section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-157_1_E1_RE_SEC-08_local,1,1.0,2.0,92.0,73.9,71.0
BU-157_1_E1_RE_SEC-08_local,2,2.0,2.0,73.3,56.0,54.3
BU-157_1_E1_RE_SEC-08_local,3,3.0,2.0,67.4,57.6,57.5
BU-157_1_E1_RE_SEC-08_local,4,4.0,2.0,65.2,61.7,63.9
BU-157_1_E1_RE_SEC-08_local,5,5.0,2.0,65.0,27.1,35.8
BU-157_1_E1_RE_SEC-08_local,6,6.0,2.0,53.7,21.2,27.7
BU-157_1_E1_RE_SEC-08_local,7,7.0,2.0,41.5,28.6,27.3
BU-157_1_E1_RE_SEC-08_local,8,8.0,2.0,32.9,27.7,27.8
BU-157_1_E1_RE_SEC-08_local,9,9.0,2.0,25.1,30.1,29.6
BU-157_1_E1_RE_SEC-08_local,10,10.0,2.0,18.8,29.9,30.5
BU-157_1_E1_RE_SEC-08_local,11,11.0,2.0,14.2,27.0,25.9
