section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-013_1_E1_RE_SEC-03_local,1,1.0,2.0,108.7,102.0,98.1
R-013_1_E1_RE_SEC-03_local,2,2.0,2.0,100.5,83.3,85.8
R-013_1_E1_RE_SEC-03_local,3,3.0,2.0,90.8,61.7,60.5
R-013_1_E1_RE_SEC-03_local,4,4.0,2.0,80.5,39.4,39.4
R-013_1_E1_RE_SEC-03_local,5,5.0,2.0,69.8,27.4,25.4
R-013_1_E1_RE_SEC-03_local,6,6.0,2.0,61.9,29.4,29.4
R-013_1_E1_RE_SEC-03_local,7,7.0,2.0,57.2,31.8,34.4
R-013_1_E1_RE_SEC-03_local,8,8.0,2.0,53.5,18.4,17.2
R-013_1_E1_RE_SEC-03_local,9,9.0,2.0,47.8,7.7,7.1
R-013_1_E1_RE_SEC-03_local,10,10.0,2.0,43.5,9.3,9.9
