section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-171_1_E2_RE_SEC-02_local,1,1.0,2.0,79.8,76.8,73.5
BU-171_1_E2_RE_SEC-02_local,2,2.0,2.0,74.9,62.5,60.9
BU-171_1_E2_RE_SEC-02_local,3,3.0,2.0,68.1,58.5,57.3
BU-171_1_E2_RE_SEC-02_local,4,4.0,2.0,66.6,67.0,64.9
BU-171_1_E2_RE_SEC-02_local,5,5.0,2.0,67.7,66.0,67.7
BU-171_1_E2_RE_SEC-02_local,6,6.0,2.0,66.4,57.1,57.7
BU-171_1_E2_RE_SEC-02_local,7,7.0,2.0,64.6,49.4,46.6
BU-171_1_E2_RE_SEC-02_local,8,8.0,2.0,62.2,42.8,46.8
BU-171_1_E2_RE_SEC-02_local,9,9.0,2.0,59.8,29.2,25.7
BU-171_1_E2_RE_SEC-02_local,10,10.0,2.0,55.7,19.3,18.9
BU-171_1_E2_RE_SEC-02_local,11,11.0,2.0,52.5,20.1,21.1
