section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-171_1_E2_RE_SEC-01_local,1,1.0,2.0,146.6,137.8,130.1
BU-171_1_E2_RE_SEC-01_local,2,2.0,2.0,137.2,125.0,127.8
BU-171_1_E2_RE_SEC-01_local,3,3.0,2.0,132.1,106.8,114.9
BU-171_1_E2_RE_SEC-01_local,4,4.0,2.0,122.7,87.3,81.0
BU-171_1_E2_RE_SEC-01_local,5,5.0,2.0,116.5,79.7,87.1
BU-171_1_E2_RE_SEC-01_local,6,6.0,2.0,109.0,67.1,65.7
BU-171_1_E2_RE_SEC-01_local,7,7.0,2.0,101.4,56.1,57.5
BU-171_1_E2_RE_SEC-01_local,8,8.0,2.0,93.8,49.5,51.2
BU-171_1_E2_RE_SEC-01_local,9,9.0,2.0,87.8,44.2,41.2
BU-171_1_E2_RE_SEC-01_local,10,10.0,2.0,82.0,42.5,44.2
BU-171_1_E2_RE_SEC-01_local,11,11.0,2.0,77.9,49.6,48.3
