section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-192_1_E1_RE_SEC-09_local,1,1.0,2.0,62.4,56.9,72.7
BU-192_1_E1_RE_SEC-09_local,2,2.0,2.0,56.8,52.1,53.5
BU-192_1_E1_RE_SEC-09_local,3,3.0,2.0,55.3,56.4,54.5
BU-192_1_E1_RE_SEC-09_local,4,4.0,2.0,56.6,54.7,57.2
BU-192_1_E1_RE_SEC-09_local,5,5.0,2.0,55.1,46.6,45.3
BU-192_1_E1_RE_SEC-09_local,6,6.0,2.0,53.2,49.0,48.2
BU-192_1_E1_RE_SEC-09_local,7,7.0,2.0,53.3,46.6,48.2
BU-192_1_E1_RE_SEC-09_local,8,8.0,2.0,51.6,35.2,37.7
BU-192_1_E1_RE_SEC-09_local,9,9.0,2.0,49.3,28.4,25.3
BU-192_1_E1_RE_SEC-09_local,10,10.0,2.0,47.0,21.4,22.0
BU-192_1_E1_RE_SEC-09_local,11,11.0,2.0,44.2,17.9,18.6
