section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-010_1_E1_RE_SEC-05_local,1,1.0,2.0,82.4,70.2,70.6
R-010_1_E1_RE_SEC-05_local,2,2.0,2.0,69.3,53.6,53.0
R-010_1_E1_RE_SEC-05_local,3,3.0,2.0,62.7,46.9,47.8
R-010_1_E1_RE_SEC-05_local,4,4.0,2.0,57.9,42.5,40.3
R-010_1_E1_RE_SEC-05_local,5,5.0,2.0,54.4,52.4,57.3
R-010_1_E1_RE_SEC-05_local,6,6.0,2.0,56.1,48.2,54.6
R-010_1_E1_RE_SEC-05_local,7,7.0,2.0,52.5,21.5,19.7
R-010_1_E1_RE_SEC-05_local,8,8.0,2.0,47.4,10.9,9.3
R-010_1_E1_RE_SEC-05_local,9,9.0,2.0,43.0,6.0,8.5
R-010_1_E1_RE_SEC-05_local,10,10.0,2.0,39.0,0.0,1.9
R-010_1_E1_RE_SEC-05_local,11,11.0,2.0,35.2,2.1,1.9
