section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-010_1_E1_RE_SEC-04_local,1,1.0,2.0,77.2,55.9,57.9
R-010_1_E1_RE_SEC-04_local,2,2.0,2.0,55.1,36.7,34.1
R-010_1_E1_RE_SEC-04_local,3,3.0,2.0,49.9,46.3,46.3
R-010_1_E1_RE_SEC-04_local,4,4.0,2.0,50.6,54.3,54.6
R-010_1_E1_RE_SEC-04_local,5,5.0,2.0,51.6,54.9,57.1
R-010_1_E1_RE_SEC-04_local,6,6.0,2.0,52.0,51.1,48.8
R-010_1_E1_RE_SEC-04_local,7,7.0,2.0,51.5,51.5,52.0
R-010_1_E1_RE_SEC-04_local,8,8.0,2.0,51.9,47.0,46.9
R-010_1_E1_RE_SEC-04_local,9,9.0,2.0,50.5,25.5,30.5
R-010_1_E1_RE_SEC-04_local,10,10.0,2.0,46.8,5.2,4.0
