section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-151_1_E2_RE_SEC-09_local,1,1.0,2.0,27.6,25.6,166.6
BU-151_1_E2_RE_SEC-09_local,2,2.0,2.0,24.4,18.6,49.1
BU-151_1_E2_RE_SEC-09_local,3,3.0,2.0,21.4,17.2,17.7
BU-151_1_E2_RE_SEC-09_local,4,4.0,2.0,20.7,14.4,14.4
BU-151_1_E2_RE_SEC-09_local,5,5.0,2.0,18.5,4.9,4.9
BU-151_1_E2_RE_SEC-09_local,6,6.0,2.0,15.4,2.8,2.6
BU-151_1_E2_RE_SEC-09_local,7,7.0,2.0,14.0,4.6,4.6
BU-151_1_E2_RE_SEC-09_local,8,8.0,2.0,12.7,3.8,2.8
BU-151_1_E2_RE_SEC-09_local,9,9.0,2.0,11.7,5.8,7.0
BU-151_1_E2_RE_SEC-09_local,10,10.0,2.0,11.3,2.4,3.7
BU-151_1_E2_RE_SEC-09_local,11,11.0,2.0,10.0,1.6,3.0
