section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-011_1_E1_RE_SEC-05_local,1,1.0,2.0,101.8,82.5,76.4
BU-011_1_E1_RE_SEC-05_local,2,2.0,2.0,81.3,56.6,55.1
BU-011_1_E1_RE_SEC-05_local,3,3.0,2.0,71.4,45.1,47.7
BU-011_1_E1_RE_SEC-05_local,4,4.0,2.0,63.0,40.2,39.0
BU-011_1_E1_RE_SEC-05_local,5,5.0,2.0,58.6,49.1,49.5
BU-011_1_E1_RE_SEC-05_local,6,6.0,2.0,58.0,49.6,52.8
BU-011_1_E1_RE_SEC-05_local,7,7.0,2.0,55.9,36.2,34.3
BU-011_1_E1_RE_SEC-05_local,8,8.0,2.0,52.5,32.5,32.7
BU-011_1_E1_RE_SEC-05_local,9,9.0,2.0,50.4,37.7,36.5
BU-011_1_E1_RE_SEC-05_local,10,10.0,2.0,49.5,37.5,39.4
