section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-202_1_E2_RE_SEC-03_local,1,1.0,2.0,116.5,108.4,101.8
MU-202_1_E2_RE_SEC-03_local,2,2.0,2.0,104.8,89.4,87.6
MU-202_1_E2_RE_SEC-03_local,3,3.0,2.0,97.9,84.5,83.9
MU-202_1_E2_RE_SEC-03_local,4,4.0,2.0,94.5,83.4,83.1
MU-202_1_E2_RE_SEC-03_local,5,5.0,2.0,92.1,85.9,85.5
MU-202_1_E2_RE_SEC-03_local,6,6.0,2.0,92.0,61.5,72.9
MU-202_1_E2_RE_SEC-03_local,7,7.0,2.0,84.9,42.8,39.9
MU-202_1_E2_RE_SEC-03_local,8,8.0,2.0,80.3,55.2,56.2
MU-202_1_E2_RE_SEC-03_local,9,9.0,2.0,78.5,67.0,68.7
MU-202_1_E2_RE_SEC-03_local,10,10.0,2.0,76.4,62.5,63.3
MU-202_1_E2_RE_SEC-03_local,11,11.0,2.0,74.4,30.3,28.9
