section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-133_1_E1_RE_SEC-01_local,1,1.0,2.0,70.1,50.4,58.6
BU-133_1_E1_RE_SEC-01_local,2,2.0,2.0,49.4,29.5,31.4
BU-133_1_E1_RE_SEC-01_local,3,3.0,2.0,41.5,22.6,21.5
BU-133_1_E1_RE_SEC-01_local,4,4.0,2.0,35.2,21.3,20.5
BU-133_1_E1_RE_SEC-01_local,5,5.0,2.0,33.1,27.9,28.5
BU-133_1_E1_RE_SEC-01_local,6,6.0,2.0,32.7,14.1,20.5
BU-133_1_E1_RE_SEC-01_local,7,7.0,2.0,27.8,13.0,24.7
BU-133_1_E1_RE_SEC-01_local,8,8.0,2.0,21.9,7.6,4.0
BU-133_1_E1_RE_SEC-01_local,9,9.0,2.0,19.8,4.5,0.5
BU-133_1_E1_RE_SEC-01_local,10,10.0,2.0,16.6,23.3,30.4
BU-133_1_E1_RE_SEC-01_local,11,11.0,2.0,12.6,0.9,169.6
