section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-112_1_E1_RE_SEC-02_local,1,1.0,2.0,129.1,115.3,107.2
MU-112_1_E1_RE_SEC-02_local,2,2.0,2.0,112.8,101.6,106.7
MU-112_1_E1_RE_SEC-02_local,3,3.0,2.0,109.1,85.5,87.9
MU-112_1_E1_RE_SEC-02_local,4,4.0,2.0,97.8,62.2,59.1
MU-112_1_E1_RE_SEC-02_local,5,5.0,2.0,89.2,51.3,48.2
MU-112_1_E1_RE_SEC-02_local,6,6.0,2.0,81.4,46.6,46.9
MU-112_1_E1_RE_SEC-02_local,7,7.0,2.0,76.1,49.3,49.8
MU-112_1_E1_RE_SEC-02_local,8,8.0,2.0,72.7,50.4,50.6
MU-112_1_E1_RE_SEC-02_local,9,9.0,2.0,69.8,51.3,51.9
MU-112_1_E1_RE_SEC-02_local,10,10.0,2.0,68.0,49.9,48.4
MU-112_1_E1_RE_SEC-02_local,11,11.0,2.0,65.9,51.0,51.0
