section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-052_1_E1_RE_SEC-08_local,1,1.0,2.0,89.2,83.0,81.6
MU-052_1_E1_RE_SEC-08_local,2,2.0,2.0,82.2,66.0,63.0
MU-052_1_E1_RE_SEC-08_local,3,3.0,2.0,73.4,58.2,64.5
MU-052_1_E1_RE_SEC-08_local,4,4.0,2.0,70.0,50.1,47.1
MU-052_1_E1_RE_SEC-08_local,5,5.0,2.0,63.8,38.6,38.0
MU-052_1_E1_RE_SEC-08_local,6,6.0,2.0,59.3,34.9,35.3
MU-052_1_E1_RE_SEC-08_local,7,7.0,2.0,55.3,34.4,34.4
MU-052_1_E1_RE_SEC-08_local,8,8.0,2.0,52.7,35.7,35.3
MU-052_1_E1_RE_SEC-08_local,9,9.0,2.0,50.8,26.9,27.5
MU-052_1_E1_RE_SEC-08_local,10,10.0,2.0,47.4,12.9,15.5
