section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-021_1_E1_RE_SEC-09_local,1,1.0,2.0,85.0,93.7,92.1
BU-021_1_E1_RE_SEC-09_local,2,2.0,2.0,93.6,110.3,112.7
BU-021_1_E1_RE_SEC-09_local,3,3.0,2.0,102.1,115.7,115.5
BU-021_1_E1_RE_SEC-09_local,4,4.0,2.0,104.8,107.1,109.0
BU-021_1_E1_RE_SEC-09_local,5,5.0,2.0,104.2,98.9,97.3
BU-021_1_E1_RE_SEC-09_local,6,6.0,2.0,103.0,90.2,90.8
BU-021_1_E1_RE_SEC-09_local,7,7.0,2.0,100.2,82.2,81.7
BU-021_1_E1_RE_SEC-09_local,8,8.0,2.0,97.7,70.1,73.5
BU-021_1_E1_RE_SEC-09_local,9,9.0,2.0,93.6,56.9,55.7
BU-021_1_E1_RE_SEC-09_local,10,10.0,2.0,89.7,49.0,51.3
BU-021_1_E1_RE_SEC-09_local,11,11.0,2.0,85.6,33.1,32.1
