section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-022_1_E1_RE_SEC-04_local,1,1.0,2.0,93.5,90.5,91.2
MU-022_1_E1_RE_SEC-04_local,2,2.0,2.0,89.5,76.2,76.4
MU-022_1_E1_RE_SEC-04_local,3,3.0,2.0,81.7,66.7,66.2
MU-022_1_E1_RE_SEC-04_local,4,4.0,2.0,77.9,62.9,63.3
MU-022_1_E1_RE_SEC-04_local,5,5.0,2.0,74.0,56.4,56.3
MU-022_1_E1_RE_SEC-04_local,6,6.0,2.0,70.6,65.7,68.7
MU-022_1_E1_RE_SEC-04_local,7,7.0,2.0,71.6,64.4,65.6
MU-022_1_E1_RE_SEC-04_local,8,8.0,2.0,69.0,48.7,48.0
MU-022_1_E1_RE_SEC-04_local,9,9.0,2.0,66.4,34.9,39.4
MU-022_1_E1_RE_SEC-04_local,10,10.0,2.0,62.2,15.1,169.3
MU-022_1_E1_RE_SEC-04_local,11,11.0,2.0,57.3,20.7,19.9
