section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-127_1_E2_RE_SEC-10_local,1,1.0,2.0,96.5,79.7,78.6
BU-127_1_E2_RE_SEC-10_local,2,2.0,2.0,78.7,57.7,57.5
BU-127_1_E2_RE_SEC-10_local,3,3.0,2.0,70.2,51.3,48.7
BU-127_1_E2_RE_SEC-10_local,4,4.0,2.0,64.6,46.2,48.7
BU-127_1_E2_RE_SEC-10_local,5,5.0,2.0,60.3,29.6,28.7
BU-127_1_E2_RE_SEC-10_local,6,6.0,2.0,53.0,18.1,18.4
BU-127_1_E2_RE_SEC-10_local,7,7.0,2.0,48.2,19.1,18.6
BU-127_1_E2_RE_SEC-10_local,8,8.0,2.0,44.2,22.8,21.9
BU-127_1_E2_RE_SEC-10_local,9,9.0,2.0,42.2,26.9,27.3
BU-127_1_E2_RE_SEC-10_local,10,10.0,2.0,40.5,26.6,26.6
BU-127_1_E2_RE_SEC-10_local,11,11.0,2.0,39.2,24.8,25.7
