section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-076_1_E2_RE_SEC-02_local,1,1.0,2.0,105.6,90.6,96.6
BU-076_1_E2_RE_SEC-02_local,2,2.0,2.0,89.5,74.8,69.8
BU-076_1_E2_RE_SEC-02_local,3,3.0,2.0,84.7,73.8,74.4
BU-076_1_E2_RE_SEC-02_local,4,4.0,2.0,81.4,70.3,68.2
BU-076_1_E2_RE_SEC-02_local,5,5.0,2.0,78.7,69.9,71.2
BU-076_1_E2_RE_SEC-02_local,6,6.0,2.0,77.5,68.7,70.1
BU-076_1_E2_RE_SEC-02_local,7,7.0,2.0,75.8,66.1,66.5
BU-076_1_E2_RE_SEC-02_local,8,8.0,2.0,74.6,61.7,63.8
BU-076_1_E2_RE_SEC-02_local,9,9.0,2.0,72.6,64.4,57.7
BU-076_1_E2_RE_SEC-02_local,10,10.0,2.0,72.6,92.5,96.8
BU-076_1_E2_RE_SEC-02_local,11,11.0,2.0,76.0,92.7,98.6
