section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-161_1_E2_RE_SEC-08_local,1,1.0,2.0,89.7,89.8,86.0
BU-161_1_E2_RE_SEC-08_local,2,2.0,2.0,88.6,91.2,90.4
BU-161_1_E2_RE_SEC-08_local,3,3.0,2.0,90.7,93.8,95.0
BU-161_1_E2_RE_SEC-08_local,4,4.0,2.0,91.2,100.3,96.5
BU-161_1_E2_RE_SEC-08_local,5,5.0,2.0,94.5,107.3,108.9
BU-161_1_E2_RE_SEC-08_local,6,6.0,2.0,96.5,97.9,99.1
BU-161_1_E2_RE_SEC-08_local,7,7.0,2.0,95.5,88.2,88.4
BU-161_1_E2_RE_SEC-08_local,8,8.0,2.0,94.4,94.0,94.1
BU-161_1_E2_RE_SEC-08_local,9,9.0,2.0,95.1,90.0,93.8
BU-161_1_E2_RE_SEC-08_local,10,10.0,2.0,93.6,53.4,52.9
BU-161_1_E2_RE_SEC-08_local,11,11.0,2.0,88.6,14.0,12.0
