section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-106_1_E2_RE_SEC-01_local,1,1.0,2.0,89.7,75.3,78.0
BU-106_1_E2_RE_SEC-01_local,2,2.0,2.0,74.5,54.7,53.6
BU-106_1_E2_RE_SEC-01_local,3,3.0,2.0,66.1,63.1,67.5
BU-106_1_E2_RE_SEC-01_local,4,4.0,2.0,68.6,60.3,62.3
BU-106_1_E2_RE_SEC-01_local,5,5.0,2.0,63.5,45.2,44.8
BU-106_1_E2_RE_SEC-01_local,6,6.0,2.0,60.7,40.2,40.8
BU-106_1_E2_RE_SEC-01_local,7,7.0,2.0,56.7,31.3,32.2
BU-106_1_E2_RE_SEC-01_local,8,8.0,2.0,53.2,25.2,26.2
BU-106_1_E2_RE_SEC-01_local,9,9.0,2.0,49.7,17.3,17.0
BU-106_1_E2_RE_SEC-01_local,10,10.0,2.0,46.0,3.8,9.0
BU-106_1_E2_RE_SEC-01_local,11,11.0,2.0,41.3,10.0,14.6
