section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-005_1_E1_RE_SEC-07_local,1,1.0,2.0,75.1,65.3,66.5
R-005_1_E1_RE_SEC-07_local,2,2.0,2.0,64.3,48.0,50.0
R-005_1_E1_RE_SEC-07_local,3,3.0,2.0,56.5,40.7,40.6
R-005_1_E1_RE_SEC-07_local,4,4.0,2.0,52.2,39.9,39.8
R-005_1_E1_RE_SEC-07_local,5,5.0,2.0,49.7,39.3,38.8
R-005_1_E1_RE_SEC-07_local,6,6.0,2.0,47.8,39.0,38.9
R-005_1_E1_RE_SEC-07_local,7,7.0,2.0,46.5,38.9,40.1
R-005_1_E1_RE_SEC-07_local,8,8.0,2.0,45.5,40.6,40.5
R-005_1_E1_RE_SEC-07_local,9,9.0,2.0,45.2,43.8,43.4
R-005_1_E1_RE_SEC-07_local,10,10.0,2.0,45.1,46.1,45.8
R-005_1_E1_RE_SEC-07_local,11,11.0,2.0,45.4,51.7,51.6
