section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-191_1_E1_RE_SEC-05_local,1,1.0,2.0,97.8,81.1,74.6
BU-191_1_E1_RE_SEC-05_local,2,2.0,2.0,79.9,52.4,54.6
BU-191_1_E1_RE_SEC-05_local,3,3.0,2.0,67.1,38.7,35.4
BU-191_1_E1_RE_SEC-05_local,4,4.0,2.0,58.9,41.4,41.6
BU-191_1_E1_RE_SEC-05_local,5,5.0,2.0,56.3,47.2,47.9
BU-191_1_E1_RE_SEC-05_local,6,6.0,2.0,54.8,45.1,45.3
BU-191_1_E1_RE_SEC-05_local,7,7.0,2.0,53.0,42.1,41.9
BU-191_1_E1_RE_SEC-05_local,8,8.0,2.0,51.5,38.9,38.9
BU-191_1_E1_RE_SEC-05_local,9,9.0,2.0,49.7,22.9,21.9
BU-191_1_E1_RE_SEC-05_local,10,10.0,2.0,45.8,17.9,12.9
BU-191_1_E1_RE_SEC-05_local,11,11.0,2.0,44.2,33.1,39.5
