section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-190_1_E1_RE_SEC-02_local,1,1.0,2.0,77.7,77.1,78.4
BU-190_1_E1_RE_SEC-02_local,2,2.0,2.0,76.4,61.6,63.2
BU-190_1_E1_RE_SEC-02_local,3,3.0,2.0,66.9,48.6,47.1
BU-190_1_E1_RE_SEC-02_local,4,4.0,2.0,62.0,52.1,53.8
BU-190_1_E1_RE_SEC-02_local,5,5.0,2.0,60.9,44.7,44.2
BU-190_1_E1_RE_SEC-02_local,6,6.0,2.0,56.2,42.2,42.1
BU-190_1_E1_RE_SEC-02_local,7,7.0,2.0,55.3,37.7,36.9
BU-190_1_E1_RE_SEC-02_local,8,8.0,2.0,51.3,11.4,167.3
BU-190_1_E1_RE_SEC-02_local,9,9.0,2.0,45.5,0.9,3.1
BU-190_1_E1_RE_SEC-02_local,10,10.0,2.0,40.8,1.6,1.5
BU-190_1_E1_RE_SEC-02_local,11,11.0,2.0,37.3,0.3,2.7
