section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-036_1_E3_RE_SEC-04_local,1,1.0,2.0,84.7,79.7,76.6
BU-036_1_E3_RE_SEC-04_local,2,2.0,2.0,78.6,78.2,77.2
BU-036_1_E3_RE_SEC-04_local,3,3.0,2.0,80.3,80.9,80.8
BU-036_1_E3_RE_SEC-04_local,4,4.0,2.0,79.8,76.3,76.0
BU-036_1_E3_RE_SEC-04_local,5,5.0,2.0,78.7,76.4,76.5
BU-036_1_E3_RE_SEC-04_local,6,6.0,2.0,78.7,72.4,73.1
BU-036_1_E3_RE_SEC-04_local,7,7.0,2.0,76.9,63.2,61.8
BU-036_1_E3_RE_SEC-04_local,8,8.0,2.0,74.8,66.8,64.9
BU-036_1_E3_RE_SEC-04_local,9,9.0,2.0,74.7,77.4,79.9
BU-036_1_E3_RE_SEC-04_local,10,10.0,2.0,75.4,48.8,50.5
