section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-028_1_E3_RE_SEC-04_local,1,1.0,2.0,96.7,94.0,93.1
BU-028_1_E3_RE_SEC-04_local,2,2.0,2.0,92.9,85.8,83.3
BU-028_1_E3_RE_SEC-04_local,3,3.0,2.0,89.4,91.4,90.8
BU-028_1_E3_RE_SEC-04_local,4,4.0,2.0,92.1,95.8,96.8
BU-028_1_E3_RE_SEC-04_local,5,5.0,2.0,91.9,93.7,92.8
BU-028_1_E3_RE_SEC-04_local,6,6.0,2.0,92.7,91.3,94.6
BU-028_1_E3_RE_SEC-04_local,7,7.0,2.0,91.8,82.3,80.1
BU-028_1_E3_RE_SEC-04_local,8,8.0,2.0,90.1,78.9,80.5
BU-028_1_E3_RE_SEC-04_local,9,9.0,2.0,88.9,64.5,65.6
BU-028_1_E3_RE_SEC-04_local,10,10.0,2.0,85.3,44.4,41.2
BU-028_1_E3_RE_SEC-04_local,11,11.0,2.0,81.4,43.0,44.8
