section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-040_1_E1_RE_SEC-02_local,1,1.0,2.0,81.7,72.8,67.9
BU-040_1_E1_RE_SEC-02_local,2,2.0,2.0,71.8,59.6,60.8
BU-040_1_E1_RE_SEC-02_local,3,3.0,2.0,66.6,37.2,36.4
BU-040_1_E1_RE_SEC-02_local,4,4.0,2.0,54.5,26.7,25.1
BU-040_1_E1_RE_SEC-02_local,5,5.0,2.0,50.5,38.1,39.2
BU-040_1_E1_RE_SEC-02_local,6,6.0,2.0,48.9,42.1,43.1
BU-040_1_E1_RE_SEC-02_local,7,7.0,2.0,48.0,44.6,43.6
BU-040_1_E1_RE_SEC-02_local,8,8.0,2.0,47.8,49.0,50.1
BU-040_1_E1_RE_SEC-02_local,9,9.0,2.0,48.2,52.1,53.7
BU-040_1_E1_RE_SEC-02_local,10,10.0,2.0,48.6,49.0,48.3
BU-040_1_E1_RE_SEC-02_local,11,11.0,2.0,48.3,27.8,29.1
