section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-159_1_E1_RE_SEC-03_local,1,1.0,2.0,67.9,57.3,62.8
BU-159_1_E1_RE_SEC-03_local,2,2.0,2.0,56.3,42.4,41.8
BU-159_1_E1_RE_SEC-03_local,3,3.0,2.0,50.4,34.7,35.1
BU-159_1_E1_RE_SEC-03_local,4,4.0,2.0,45.2,17.5,20.4
BU-159_1_E1_RE_SEC-03_local,5,5.0,2.0,37.2,4.7,2.9
BU-159_1_E1_RE_SEC-03_local,6,6.0,2.0,31.5,11.1,11.6
BU-159_1_E1_RE_SEC-03_local,7,7.0,2.0,29.5,23.0,23.1
BU-159_1_E1_RE_SEC-03_local,8,8.0,2.0,29.3,27.3,26.6
BU-159_1_E1_RE_SEC-03_local,9,9.0,2.0,29.0,28.5,31.7
BU-159_1_E1_RE_SEC-03_local,10,10.0,2.0,29.2,31.4,29.6
