section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-197_1_E1_RE_SEC-06_local,1,1.0,2.0,116.3,75.3,68.2
BU-197_1_E1_RE_SEC-06_local,2,2.0,2.0,73.9,34.0,35.7
BU-197_1_E1_RE_SEC-06_local,3,3.0,2.0,58.4,25.8,25.8
BU-197_1_E1_RE_SEC-06_local,4,4.0,2.0,48.4,11.2,10.1
BU-197_1_E1_RE_SEC-06_local,5,5.0,2.0,38.6,0.0,1.3
BU-197_1_E1_RE_SEC-06_local,6,6.0,2.0,31.0,5.6,6.7
BU-197_1_E1_RE_SEC-06_local,7,7.0,2.0,25.0,7.6,7.5
BU-197_1_E1_RE_SEC-06_local,8,8.0,2.0,20.5,9.1,8.8
BU-197_1_E1_RE_SEC-06_local,9,9.0,2.0,16.6,18.6,18.6
BU-197_1_E1_RE_SEC-06_local,10,10.0,2.0,12.1,26.2,26.5
BU-197_1_E1_RE_SEC-06_local,11,11.0,2.0,8.4,28.1,28.3
