section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-103_1_E1_RE_SEC-01_local,1,1.0,2.0,71.1,58.2,63.0
BU-103_1_E1_RE_SEC-01_local,2,2.0,2.0,55.4,38.6,38.9
BU-103_1_E1_RE_SEC-01_local,3,3.0,2.0,49.0,40.1,39.8
BU-103_1_E1_RE_SEC-01_local,4,4.0,2.0,47.6,49.6,46.7
BU-103_1_E1_RE_SEC-01_local,5,5.0,2.0,49.2,41.5,46.4
BU-103_1_E1_RE_SEC-01_local,6,6.0,2.0,45.6,30.3,27.3
BU-103_1_E1_RE_SEC-01_local,7,7.0,2.0,43.7,34.5,35.0
BU-103_1_E1_RE_SEC-01_local,8,8.0,2.0,42.7,15.0,16.9
BU-103_1_E1_RE_SEC-01_local,9,9.0,2.0,37.6,9.5,12.3
BU-103_1_E1_RE_SEC-01_local,10,10.0,2.0,32.8,13.7,12.9
BU-103_1_E1_RE_SEC-01_local,11,11.0,2.0,28.4,17.5,18.7
