section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-188_1_E1_RE_SEC-04_local,1,1.0,2.0,81.1,69.8,69.8
BU-188_1_E1_RE_SEC-04_local,2,2.0,2.0,69.2,61.8,62.5
BU-188_1_E1_RE_SEC-04_local,3,3.0,2.0,67.9,68.7,67.5
BU-188_1_E1_RE_SEC-04_local,4,4.0,2.0,69.0,68.4,69.7
BU-188_1_E1_RE_SEC-04_local,5,5.0,2.0,68.1,68.0,66.3
BU-188_1_E1_RE_SEC-04_local,6,6.0,2.0,68.7,69.3,69.7
BU-188_1_E1_RE_SEC-04_local,7,7.0,2.0,68.4,65.3,66.1
BU-188_1_E1_RE_SEC-04_local,8,8.0,2.0,67.8,62.9,62.4
BU-188_1_E1_RE_SEC-04_local,9,9.0,2.0,67.2,57.9,58.9
BU-188_1_E1_RE_SEC-04_local,10,10.0,2.0,65.8,50.5,50.6
