section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-010_1_E1_RE_SEC-03_local,1,1.0,2.0,74.0,57.7,66.1
BU-010_1_E1_RE_SEC-03_local,2,2.0,2.0,55.1,41.1,41.2
BU-010_1_E1_RE_SEC-03_local,3,3.0,2.0,51.5,48.2,45.2
BU-010_1_E1_RE_SEC-03_local,4,4.0,2.0,51.6,51.5,55.4
BU-010_1_E1_RE_SEC-03_local,5,5.0,2.0,51.5,46.8,42.7
BU-010_1_E1_RE_SEC-03_local,6,6.0,2.0,50.0,41.0,42.1
BU-010_1_E1_RE_SEC-03_local,7,7.0,2.0,48.5,36.3,36.8
BU-010_1_E1_RE_SEC-03_local,8,8.0,2.0,46.5,33.4,34.2
BU-010_1_E1_RE_SEC-03_local,9,9.0,2.0,45.1,30.6,29.3
BU-010_1_E1_RE_SEC-03_local,10,10.0,2.0,43.3,3.8,6.9
BU-010_1_E1_RE_SEC-03_local,11,11.0,2.0,37.9,26.9,31.9
